# psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,z
2.035252999999999801e+01,1.888119000000000014e+01,1.879947999999999908e+01,1.845797999999999917e+01,1.823357000000000028e+01,1.912039000000000044e+01,1.796696000000000026e+01,1.751217000000000112e+01,1.720152999999999821e+01,1.702348999999999890e+01,1.905352999999999852e+01,1.798710000000000164e+01,1.753794999999999860e+01,1.720606000000000080e+01,1.703670999999999935e+01,6.721981999999999957e-02
2.375088999999999828e+01,2.087172999999999945e+01,1.936116000000000170e+01,1.862239999999999895e+01,1.812244000000000099e+01,2.386593999999999838e+01,2.087122999999999706e+01,1.936334000000000088e+01,1.859310999999999936e+01,1.813164000000000087e+01,2.194888999999999868e+01,2.078692999999999813e+01,1.928859999999999886e+01,1.854249000000000080e+01,1.809818999999999889e+01,1.103562999999999924e-04
2.181616999999999962e+01,1.916127000000000180e+01,1.793757000000000090e+01,1.743707999999999814e+01,1.717352999999999952e+01,2.183983999999999881e+01,1.916800999999999888e+01,1.793610999999999933e+01,1.743038999999999916e+01,1.715135000000000076e+01,2.169047000000000125e+01,1.921800999999999959e+01,1.799622999999999706e+01,1.749902000000000157e+01,1.719327000000000183e+01,1.064320000000000137e-04
2.470246000000000208e+01,2.198036000000000101e+01,2.083129999999999882e+01,2.061965000000000003e+01,2.044168999999999770e+01,2.491054000000000102e+01,2.197657000000000238e+01,2.084097999999999828e+01,2.063110999999999962e+01,2.051379999999999981e+01,2.366907000000000139e+01,2.208547000000000082e+01,2.093385999999999925e+01,2.076472000000000051e+01,2.080562999999999718e+01,6.980596999999999497e-01
2.068730000000000047e+01,1.955927999999999756e+01,1.909035000000000082e+01,1.884871000000000052e+01,1.879185999999999979e+01,2.067895000000000039e+01,1.953036000000000172e+01,1.905552999999999741e+01,1.882147999999999755e+01,1.876582999999999757e+01,2.061912000000000234e+01,1.955101000000000155e+01,1.907160999999999973e+01,1.885927999999999827e+01,1.892977000000000132e+01,-1.286775000000000093e-04
2.131829000000000107e+01,1.942798999999999765e+01,1.852482999999999791e+01,1.815344999999999942e+01,1.787206000000000117e+01,2.057310000000000016e+01,1.861201000000000150e+01,1.773924999999999841e+01,1.730737999999999843e+01,1.699286999999999992e+01,2.043095999999999890e+01,1.864570000000000149e+01,1.780609000000000108e+01,1.737630000000000052e+01,1.705603999999999942e+01,7.847766999999999937e-02
2.433164999999999978e+01,2.202915000000000134e+01,2.056335999999999942e+01,2.003387999999999991e+01,1.965596999999999994e+01,2.413061000000000078e+01,2.173761999999999972e+01,2.023338000000000036e+01,1.970827999999999847e+01,1.936052999999999713e+01,2.238885000000000147e+01,2.167577999999999960e+01,2.029710000000000036e+01,1.975402000000000058e+01,1.939017999999999731e+01,2.561784999999999757e-01
2.088938999999999879e+01,2.049905000000000044e+01,2.016657000000000011e+01,1.972551999999999950e+01,1.952610999999999919e+01,2.083927000000000263e+01,2.039352000000000231e+01,1.996535000000000082e+01,1.948887999999999820e+01,1.929437000000000069e+01,2.090682999999999936e+01,2.051563999999999766e+01,1.999182000000000059e+01,1.951791000000000054e+01,1.918041000000000196e+01,5.163501000000000341e-01
2.124005999999999972e+01,1.998902999999999963e+01,1.964045000000000130e+01,1.956517000000000195e+01,1.956681999999999988e+01,2.126662999999999926e+01,1.999034999999999940e+01,1.964733000000000018e+01,1.957868999999999815e+01,1.957759000000000071e+01,2.150436000000000192e+01,2.003779000000000110e+01,1.974896000000000029e+01,1.977484000000000108e+01,2.002501000000000175e+01,-6.708327999999999514e-04
2.378212000000000259e+01,2.218939999999999912e+01,2.184337000000000018e+01,2.192154999999999987e+01,2.166177000000000064e+01,2.373195000000000121e+01,2.211965999999999966e+01,2.172857000000000127e+01,2.190045999999999893e+01,2.150499999999999901e+01,2.353499000000000052e+01,2.223182000000000258e+01,2.170382000000000033e+01,2.278898999999999830e+01,2.059874999999999901e+01,1.287433000000000050e+00
